pid,_date,derivativo_link,dlc_link,format,iiif_json,_name,native_jpg,shelf_location,subjects,summary,title
11,between 1934 and 2009,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341105/,https://dlc.library.columbia.edu/catalog/cul:8w9ghx3fv3,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341105/info.json,,"https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341105/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"View of Butler Library through foliage, looking west.",Butler Library - Looking West
12,between 1934 and 2009,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341013/,https://dlc.library.columbia.edu/catalog/cul:bzkh1893dv,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341013/info.json,,"https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341013/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 15 (Buildings & Grounds - Morningside - Butler Library, Interior w/ People), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,Image of patrons using the card catalog in Butler Library.,Consulting the Card Catalog
13,between 1934 and 2009,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341242/,https://dlc.library.columbia.edu/catalog/cul:9zw3r228c4,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341242/info.json,,"https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341242/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 15 (Buildings & Grounds - Morningside - Butler Library, Interior w/ People), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,View of the college reading room (226 Butler Library).,College Reading Room
14,between 1934 and 2009,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341286/,https://dlc.library.columbia.edu/catalog/cul:qv9s4mw70g,photographs,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341286/info.json,"Ballou, Hubbard W.","https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341286/full/!768,768/0/native.jpg","Box no. Box 138, Folder no. Folder 3 (Administration - Provost - Libraries, Butler Cataloging Department), Historical Photograph Collection",Academic libraries; Cataloging; New York (N.Y.); Butler Library,Overhead view of the cataloging room.,Cataloging Room
15,between 1934 and 2009,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341070/,https://dlc.library.columbia.edu/catalog/cul:98sf7m0ctg,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341070/info.json,"Warman, Manny, -1983","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341070/full/!768,768/0/native.jpg","Box no. Box 129, Folder no. Folder 2 (Academics - Affiliated Institutions - Columbia University Press), Historical Photograph Collection",Academic libraries; New York (N.Y.),Professor Tyndall and Dwight Miner at the publication party for the Columbia Encyclopedia.,Columbia Encyclopedia Publication Party
16,"December, 1945",https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341264/,https://dlc.library.columbia.edu/catalog/cul:crjdfn2zfn,photographs,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341264/info.json,,"https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341264/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 9 (Buildings & Grounds - Morningside - Butler Library, Browsing Room), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Students in the Butler Library Browsing Room, December 1945.","Browsing Room, December 1945"
17,1-Jun-33,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:340992/,https://dlc.library.columbia.edu/catalog/cul:tqjq2bvqnr,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:340992/info.json,"Beals, A. Tennyson","https://derivativo-1.library.columbia.edu/iiif/2/ldpd:340992/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 12 (Buildings & Grounds - Morningside - Butler Library, Construction 1933-1934), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 1 June 1933.",Butler Library Construction 26
18,circa 1947,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341223/,https://dlc.library.columbia.edu/catalog/cul:f4qrfj6qhv,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341223/info.json,,"https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341223/full/!768,768/0/native.jpg","Box no. Box 129, Folder no. Folder 2 (Academics - Affiliated Institutions - Columbia University Press), Historical Photograph Collection",Academic libraries; New York (N.Y.),"CMC (Columbia Movie Club?) members editing film, ca. 1947.",Film Editing
19,"November, 1937",https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341055/,https://dlc.library.columbia.edu/catalog/cul:b2rbnzs7vp,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341055/info.json,"Janovsky, Seymour","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341055/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior), Historical Photograph Collection",Academic libraries; Butler Library; New York (N.Y.); Butler Library,"View of Butler Library at night as viewed from across 116th Street, November 1937.",Butler Library at Night
20,20-Jan-33,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341200/,https://dlc.library.columbia.edu/catalog/cul:vdncjsxm79,photographs,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341200/info.json,"Beals, A. Tennyson","https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341200/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 12 (Buildings & Grounds - Morningside - Butler Library, Construction 1933-1934), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 20 January 1933.",Butler Library Construction 20
21,31-Aug-34,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341046/,https://dlc.library.columbia.edu/catalog/cul:zw3r2280x4,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341046/info.json,"Boldtman, J.","https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341046/full/!768,768/0/native.jpg","Box no. MS 138, Folder no. Folder 9, Historical Photograph Collection",College campuses; New York (N.Y.),"31 August 1934. Boxes of books loaded onto the book chute next to the Alma Mater on their way across campus. Between August 20 and September 19, 1934 student workers and professional movers moved books from their original home in Low Library to their new home in South Hall (Butler Library).",Book Transfer
22,between 1934 and 2009,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341163/,https://dlc.library.columbia.edu/catalog/cul:tx95x69ppj,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341163/info.json,"Warman, Manny, -1983","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341163/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"View of Butler Library at dusk from across 116th Street, looking south.",Butler Library at Dusk
23,circa 1934,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341081/,https://dlc.library.columbia.edu/catalog/cul:jm63xsj470,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341081/info.json,"Wurts Bros. (New York, N.Y.)","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341081/full/!768,768/0/native.jpg","""Box no. Box 162, Folder no. Folder 7 (Buildings & Grounds - Morningside - Butler library, Album 'The New Library building of Columbia University, Gift of Edward S. Harkness,1934'), Historical Photograph Collection""",Academic libraries; Decoration and ornament; New York (N.Y.); Butler Library,"Detail view of the ceiling in the Butler Library of Philosophy located in South Hall (Butler Library), ca. 1934.",Ceiling-Butler Library
24,"between August 20 and September 19, 1934",https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341133/,https://dlc.library.columbia.edu/catalog/cul:d51c59zwgj,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341133/info.json,Sprague,"https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341133/full/!768,768/0/native.jpg","Box no. Box 138, Folder no. Folder 9 (Administration - Provost - Libraries, Butler Transfer of Books from Low), Historical Photograph Collection",College campuses; New York (N.Y.),"Image of student workers moving boxes from book chutes onto book carts at the foot of stairs to Low Plaza. Between August 20 and September 19, 1934 student workers and professional movers moved books from their original home in Low Library to their new home in South Hall (Butler Library).",Book Transfer
25,between 1934 and 2009,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341210/,https://dlc.library.columbia.edu/catalog/cul:v9s4mw6mpd,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341210/info.json,"Bubley, Esther","https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341210/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 9 (Buildings & Grounds - Morningside - Butler Library, Browsing Room), Historical Photograph Collection",Academic libraries; College students; New York (N.Y.); Butler Library,Students in Butler Library's Browsing Room.,Browsing Room
26,circa 1934-1939,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341004/,https://dlc.library.columbia.edu/catalog/cul:cvdncjsxzx,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341004/info.json,,"https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341004/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 14 (Buildings & Grounds - Morningside - Butler Library, Interior), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Main transverse stack aisle showing continuous beam less ceiling and tile covered floor, ca. 1930s.",Butler Library Stacks
27,between 1934 and 2009,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:340966/,https://dlc.library.columbia.edu/catalog/cul:6m905qfv62,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:340966/info.json,"Bubley, Esther","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:340966/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 15 (Buildings & Grounds - Morningside - Butler Library, Interior w/ People), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,Students walking through 'Columbia' gate on the main level of Butler Library.,Columbia' Gate
28,between 1934 and 2009,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:340972/,https://dlc.library.columbia.edu/catalog/cul:8cz8w9gj7n,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:340972/info.json,Look magazine,"https://derivativo-1.library.columbia.edu/iiif/2/ldpd:340972/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 15 (Buildings & Grounds - Morningside - Butler Library, Interior w/ People), Historical Photograph Collection",Academic libraries; Mural painting and decoration; New York (N.Y.); Butler Library,Man and woman on bench in front of the main entrance mural of Athene painted by  Eugene Savage of the Yale School of Fine Arts. Attributed to Look Magazine,Butler Library - Main entrance mural
29,before 1931,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341079/,https://dlc.library.columbia.edu/catalog/cul:k0p2ngf28p,photographs,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341079/info.json,"Boldtman, J.","https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341079/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 11 (Buildings & Grounds - Morningside - Butler Library, Construction 1932), Historical Photograph Collection",College campuses; Building; New York (N.Y.),View of the construction pit on the site of the future Butler Library.,Butler Library Construction Pit
30,15-Jun-32,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341094/,https://dlc.library.columbia.edu/catalog/cul:qjq2bvq8g0,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341094/info.json,"Beals, A. Tennyson","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341094/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 11 (Buildings & Grounds - Morningside - Butler Library, Construction 1932), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 15 June 1932.",Butler Library Construction 4
31,1902,https://derivativo-3.library.columbia.edu/iiif/2/cul:c59zw3r2fn/,https://dlc.library.columbia.edu/catalog/cul:4f4qrfj72r,postcards,https://derivativo-3.library.columbia.edu/iiif/2/cul:c59zw3r2fn/info.json,,"https://derivativo-3.library.columbia.edu/iiif/2/cul:c59zw3r2fn/full/!768,768/0/native.jpg","General Views, Postcards, MS 180",Columbia University,,"Columbia University, New York"
32,1954,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341002/,https://dlc.library.columbia.edu/catalog/cul:f7m0cfxq13,photographs,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341002/info.json,,"https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341002/full/!768,768/0/native.jpg","Box no. MS 149, Folder no. Folder 2 (Bicentennial - Exhibits - Columbia University, New York, 1954), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Image of (L to R) Pierre Douzelot, President Grayson Kirk, Jean Sarrailk, and Henri Bonnet examining a part of the exhibit of French Universities at Butler Library, 18 October 1954.",Exhibit of French Universities at Butler Library
33,7-Sep-32,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341016/,https://dlc.library.columbia.edu/catalog/cul:0zpc866tcz,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341016/info.json,"Beals, A. Tennyson","https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341016/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 11 (Buildings & Grounds - Morningside - Butler Library, Construction 1932), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 7 September 1932.",Butler Library Construction 12
34,between 1934 and 2009,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341050/,https://dlc.library.columbia.edu/catalog/cul:ttdz08kq62,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341050/info.json,,"https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341050/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 14 (Buildings & Grounds - Morningside - Butler Library, Interior), Historical Photograph Collection",Academic libraries; New York (N.Y.),Books on book sorting shelves with sloping backs and bottoms.,Book Sorting Shelves
35,between 1934 and 2009,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341042/,https://dlc.library.columbia.edu/catalog/cul:zgmsbcc2v5,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341042/info.json,"Warman, Manny, -1983","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341042/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 15 (Buildings & Grounds - Morningside - Butler Library, Interior w/ People), Historical Photograph Collection",Academic libraries; Reading rooms; New York (N.Y.); Butler Library,College students studying in the reading room.,College Library Reading Room
36,25-Oct-33,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341061/,https://dlc.library.columbia.edu/catalog/cul:zcrjdfn3cc,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341061/info.json,"Beals, A. Tennyson","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341061/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 12 (Buildings & Grounds - Morningside - Butler Library, Construction 1933-1934), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 25 October 1933.",Butler Library Construction 28
37,between 1934 and 2009,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341275/,https://dlc.library.columbia.edu/catalog/cul:6q573n5tpb,photographs,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341275/info.json,"Beals, A. Tennyson","https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341275/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,View of Butler Library's main entrance.,Butler Library Front Door
38,3-Oct-32,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341109/,https://dlc.library.columbia.edu/catalog/cul:z34tmpg4sp,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341109/info.json,"Beals, A. Tennyson","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341109/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 11 (Buildings & Grounds - Morningside - Butler Library, Construction 1932), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 3 October 1932.",Butler Library Construction 14
39,between 1934 and 2009,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341277/,https://dlc.library.columbia.edu/catalog/cul:wpzgmsbcss,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341277/info.json,,"https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341277/full/!768,768/0/native.jpg","Box no. Box 138, Folder no. Folder 11(Administration - Provost - Libraries, Butler, Rare Book and Manuscript), Historical Photograph Collection",Academic libraries; New York (N.Y.),"A student working with some of the rare publications dealing with the Russian Revolutionary Movement, purchased by Columbia University from funds granted by the Rockefeller Foundation.",Consulting Rare Publications
40,circa 1940,https://derivativo-2.library.columbia.edu/iiif/2/cul:xsj3tx969x/,https://dlc.library.columbia.edu/catalog/cul:fbg79cnpk7,photographs,https://derivativo-2.library.columbia.edu/iiif/2/cul:xsj3tx969x/info.json,"Gottscho, Samuel H. (Samuel Herman), 1875-1971","https://derivativo-2.library.columbia.edu/iiif/2/cul:xsj3tx969x/full/!768,768/0/native.jpg","Morningside, Brander Matthews Hall, MS 162",College buildings; Columbia University,,Brander Matthews Hall
41,1957,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341139/,https://dlc.library.columbia.edu/catalog/cul:w0vt4b8h7f,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341139/info.json,,"https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341139/full/!768,768/0/native.jpg","Box no. Box 189, Folder no. Folder 13 (Events - Commencement - 1957), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"View of Butler Library from Low Library entrance, during the 1957 commencement.",Commencement 1957
42,circa 1934,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341022/,https://dlc.library.columbia.edu/catalog/cul:z612jm64bt,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341022/info.json,"Wurts Bros. (New York, N.Y.)","https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341022/full/!768,768/0/native.jpg","""Box no. Box 162, Folder no. Folder 7 (Buildings & Grounds - Morningside - Butler library, Album 'The New Library building of Columbia University, Gift of Edward S. Harkness,1934'), Historical Photograph Collection""",Academic libraries; Reading rooms; New York (N.Y.); Butler Library,"View of the Butler Library of Philosophy located in South Hall (Butler Library), ca. 1934.",Butler Library of Philosophy
43,circa 1934,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:340990/,https://dlc.library.columbia.edu/catalog/cul:1c59zw3rdt,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:340990/info.json,"Wurts Bros. (New York, N.Y.)","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:340990/full/!768,768/0/native.jpg","""Box no. Box 162, Folder no. Folder 7 (Buildings & Grounds - Morningside - Butler library, Album 'The New Library building of Columbia University, Gift of Edward S. Harkness,1934'), Historical Photograph Collection""",Academic libraries; Card catalogs; New York (N.Y.); Butler Library,"View of patrons consulting the card catalog in the Catalogue Room, ca. 1934.",Catalogue Room
44,15-Aug-32,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341240/,https://dlc.library.columbia.edu/catalog/cul:pnvx0k6dzx,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341240/info.json,"Beals, A. Tennyson","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341240/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 11 (Buildings & Grounds - Morningside - Butler Library, Construction 1932), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 15 August 1932",Butler Library Construction 10
45,between 1934 and 2009,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341116/,https://dlc.library.columbia.edu/catalog/cul:1ns1rn8pwn,photographs,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341116/info.json,"Warman, Manny, -1983","https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341116/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 15 (Buildings & Grounds - Morningside - Butler Library, Interior w/ People), Historical Photograph Collection",Academic libraries; Reading rooms; New York (N.Y.); Butler Library,Students studying in College Library reading room (now Room 209).,College Library Reading Room
46,19-Sep-32,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341130/,https://dlc.library.columbia.edu/catalog/cul:1c59zw3rds,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341130/info.json,"Beals, A. Tennyson","https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341130/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 11 (Buildings & Grounds - Morningside - Butler Library, Construction 1932), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 19 September 1932.",Butler Library Construction 13
